MQTD,PVIZ,VALOR
6.575,4.98,504000
6.421,9.14,453600
7.185,4.03,728700
6.998,2.94,701400
7.147,5.33,760200
6.43,5.21,602700
6.012,12.43,480900
6.172,19.15,569100
5.631,29.93,346500
6.004,17.1,396900
6.377,20.45,315000
6.009,13.27,396900
5.889,15.71,455700
5.949,8.26,428400
6.096,10.26,382200
5.834,8.47,417900
5.935,6.58,485100
5.99,14.67,367500
5.456,11.69,424200
5.727,11.28,382200
5.57,21.02,285600
5.965,13.83,411600
6.142,18.72,319200
5.813,19.88,304500
5.924,16.3,327600
5.599,16.51,291900
5.813,14.81,348600
6.047,17.28,310800
6.495,12.8,386400
6.674,11.98,441000
5.713,22.6,266700
6.072,13.04,304500
5.95,27.71,277200
5.701,18.35,275100
6.096,20.34,283500
5.933,9.68,396900
5.841,11.41,420000
5.85,8.77,441000
5.966,10.13,518700
6.595,4.32,646800
7.024,1.98,732900
6.77,4.84,558600
6.169,5.81,531300
6.211,7.44,518700
6.069,9.55,445200
5.682,10.21,405300
5.786,14.15,420000
6.03,18.8,348600
5.399,30.81,302400
5.602,16.2,407400
5.963,13.45,413700
6.115,9.43,430500
6.511,5.28,525000
5.998,8.43,491400
5.888,14.8,396900
7.249,4.81,743400
6.383,5.77,518700
6.816,3.95,663600
6.145,6.86,489300
5.927,9.22,411600
5.741,13.15,392700
5.966,14.44,336000
6.456,6.73,466200
6.762,9.5,525000
7.104,8.05,693000
6.29,4.67,493500
5.787,10.24,407400
5.878,8.1,462000
5.594,13.09,365400
5.885,8.79,438900
6.417,6.72,508200
5.961,9.88,455700
6.065,5.52,478800
6.245,7.54,491400
6.273,6.78,506100
6.286,8.94,449400
6.279,11.97,420000
6.14,10.27,436800
6.232,12.34,445200
5.874,9.1,426300
6.727,5.29,588000
6.619,7.22,501900
6.302,6.72,520800
6.167,7.51,480900
6.389,9.62,501900
6.63,6.53,558600
6.015,12.86,472500
6.121,8.44,466200
7.007,5.5,495600
7.079,5.7,602700
6.417,8.81,474600
6.405,8.2,462000
6.442,8.16,480900
6.211,6.21,525000
6.249,10.59,432600
6.625,6.65,596400
6.163,11.34,449400
8.069,4.21,812700
7.82,3.57,919800
7.416,6.19,697200
6.727,9.42,577500
6.781,7.67,556500
6.405,10.63,390600
6.137,13.44,405300
6.167,12.33,422100
5.851,16.47,409500
5.836,18.66,409500
6.127,14.09,428400
6.474,12.27,415800
6.229,15.55,407400
6.195,13,455700
6.715,10.16,478800
5.913,16.21,394800
6.092,17.09,392700
6.254,10.45,388500
5.928,15.76,384300
6.176,12.04,445200
6.021,10.3,403200
5.872,15.37,428400
5.731,13.61,405300
5.87,14.37,462000
6.004,14.27,426300
5.961,17.93,430500
5.856,25.41,363300
5.879,17.58,394800
5.986,14.81,449400
5.613,27.26,329700
5.693,17.19,340200
6.431,15.39,378000
5.637,18.34,300300
6.458,12.6,403200
6.326,12.26,411600
6.372,11.12,483000
5.822,15.03,386400
5.757,17.31,327600
6.335,16.96,380100
5.942,16.9,365400
6.454,14.59,359100
5.857,21.32,279300
6.151,18.46,373800
6.174,24.16,294000
5.019,34.41,302400
5.403,26.82,281400
5.468,26.42,327600
4.903,29.29,247800
6.13,27.8,289800
5.628,16.65,327600
4.926,29.53,306600
5.186,28.32,373800
5.597,21.45,323400
6.122,14.1,451500
5.404,13.28,411600
5.012,12.12,321300
5.709,15.79,407400
6.129,15.12,357000
6.152,15.02,327600
5.272,16.14,275100
6.943,4.59,867300
6.066,6.43,510300
6.51,7.39,489300
6.25,5.5,567000
5.854,11.64,476700
6.101,9.81,525000
5.877,12.14,499800
6.319,11.1,499800
6.402,11.32,468300
5.875,14.43,365400
5.88,12.03,401100
5.572,14.69,485100
6.416,9.04,495600
5.859,9.64,474600
6.546,5.33,617400
6.02,10.11,487200
6.315,6.29,516600
6.86,6.92,627900
6.98,5.04,781200
7.765,7.56,835800
6.144,9.45,760200
7.155,4.82,795900
6.563,5.68,682500
5.604,13.98,554400
6.153,13.15,621600
6.782,6.68,672000
6.556,4.56,625800
7.185,5.39,732900
6.951,5.1,777000
6.739,4.69,640500
7.178,2.87,764400
6.8,5.03,653100
6.604,4.38,611100
7.287,4.08,699300
7.107,8.61,636300
7.274,6.62,726600
6.975,4.56,732900
7.135,4.45,690900
6.162,7.43,506100
7.61,3.11,888300
7.853,3.81,1018500
5.891,10.87,474600
6.326,10.97,512400
5.783,18.06,472500
6.064,14.66,512400
5.344,23.09,420000
5.96,17.27,455700
5.404,23.98,405300
5.807,16.03,470400
6.375,9.38,590100
5.412,29.55,497700
6.182,9.47,525000
5.888,13.51,489300
6.642,9.69,602700
5.951,17.92,451500
6.373,10.5,483000
6.951,9.71,560700
6.164,21.46,455700
6.879,9.93,577500
6.618,7.6,632100
8.266,4.14,940800
8.04,3.13,789600
7.163,6.36,663600
7.686,3.92,980700
6.552,3.76,661500
5.981,11.65,510300
7.412,5.25,665700
8.337,2.47,875700
8.247,3.95,1014300
6.726,8.05,609000
6.086,10.88,504000
6.631,9.54,527100
7.358,4.73,661500
6.481,6.36,497700
6.606,7.37,489300
6.897,11.38,462000
6.095,12.4,422100
6.358,11.22,466200
6.393,5.19,497700
5.593,12.5,369600
5.605,18.46,388500
6.108,9.16,510300
6.226,10.15,430500
6.433,9.52,514500
6.718,6.56,550200
6.487,5.9,512400
6.438,3.59,520800
6.957,3.53,621600
8.259,3.54,898800
6.108,6.57,459900
5.876,9.25,438900
7.454,3.11,924000
7.333,7.79,756000
6.842,6.9,632100
7.203,9.59,709800
7.52,7.26,905100
8.398,5.91,1024800
7.327,11.25,651000
7.206,8.1,766500
5.56,10.45,478800
7.014,14.79,644700
7.47,3.16,913500
5.92,13.65,434700
5.856,13,443100
6.24,6.59,529200
6.538,7.73,512400
7.691,6.58,739200
6.758,3.53,680400
6.854,2.98,672000
7.267,6.05,697200
6.826,4.16,695100
6.482,7.19,611100
6.812,4.85,737100
7.82,3.76,953400
6.968,4.59,743400
7.645,3.01,966000
7.088,7.85,676200
6.453,8.23,462000
6.23,12.93,422100
6.209,7.14,487200
6.315,7.6,468300
6.565,9.51,520800
6.861,3.33,598500
7.148,3.56,783300
6.63,4.7,585900
6.127,8.58,501900
6.009,10.4,455700
6.678,6.27,600600
6.549,7.39,569100
5.79,15.84,426300
6.345,4.97,472500
7.041,4.74,609000
6.871,6.07,520800
6.59,9.5,462000
6.495,8.67,554400
6.982,4.86,695100
7.236,6.93,758100
6.616,8.93,596400
7.42,6.47,701400
6.849,7.53,592200
6.635,4.54,478800
5.972,9.97,426300
4.973,12.64,338100
6.122,5.98,464100
6.023,11.72,407400
6.266,7.9,453600
6.567,9.28,499800
5.705,11.5,340200
5.914,18.33,373800
5.782,15.94,415800
6.382,10.36,485100
6.113,12.73,441000
6.426,7.2,499800
6.376,6.87,485100
6.041,7.7,428400
5.708,11.74,388500
6.415,6.12,525000
6.431,5.08,516600
6.312,6.15,483000
6.083,12.79,466200
5.868,9.97,405300
6.333,7.34,474600
6.144,9.09,415800
5.706,12.43,359100
6.031,7.83,407400
6.316,5.68,466200
6.31,6.75,434700
6.037,8.01,443100
5.869,9.8,409500
5.895,10.56,388500
6.059,8.51,432600
5.985,9.74,399000
5.968,9.29,392700
7.241,5.49,686700
6.54,8.65,346500
6.696,7.18,501900
6.874,4.61,655200
6.014,10.53,367500
5.898,12.67,361200
6.516,6.36,485100
6.635,5.99,514500
6.939,5.89,558600
6.49,5.98,480900
6.579,5.49,506100
5.884,7.79,390600
6.728,4.5,632100
5.663,8.05,382200
5.936,5.57,432600
6.212,17.6,373800
6.395,13.27,455700
6.127,11.48,476700
6.112,12.67,474600
6.398,7.79,525000
6.251,14.19,417900
5.362,10.19,436800
5.803,14.64,352800
3.561,7.12,577500
4.963,14,459900
3.863,13.33,485100
4.906,34.77,289800
4.138,37.97,289800
7.313,13.44,315000
6.649,23.24,291900
6.794,21.24,279300
6.38,23.69,275100
6.223,21.78,214200
6.968,17.21,218400
6.545,21.08,228900
5.536,23.6,237300
5.52,24.56,258300
4.368,30.63,184800
5.277,30.81,151200
4.652,28.28,220500
5,31.99,155400
4.88,30.62,214200
5.39,20.85,241500
5.713,17.11,317100
6.051,18.76,487200
5.036,25.68,203700
6.193,15.17,289800
5.887,16.35,266700
6.471,17.12,275100
6.405,19.37,262500
5.747,19.92,178500
5.453,30.59,105000
5.852,29.97,132300
5.987,26.77,117600
6.343,20.32,151200
6.404,20.31,254100
5.349,19.77,174300
5.531,27.38,178500
5.683,22.98,105000
4.138,23.34,249900
5.608,12.13,585900
5.617,26.4,361200
6.852,19.78,577500
5.757,10.11,315000
6.657,21.22,361200
4.628,34.37,375900
5.155,20.08,342300
4.519,36.98,147000
6.434,29.05,151200
6.782,25.79,157500
5.304,26.64,218400
5.957,20.62,184800
6.824,22.74,176400
6.411,15.02,350700
6.006,15.7,298200
5.648,14.1,436800
6.103,23.29,281400
5.565,17.16,245700
5.896,24.39,174300
5.837,15.69,214200
6.202,14.52,228900
6.193,21.52,231000
6.38,24.08,199500
6.348,17.64,304500
6.833,19.69,296100
6.425,12.03,338100
6.436,16.22,300300
6.208,15.17,245700
6.629,23.27,281400
6.461,18.05,201600
6.152,26.45,182700
5.935,34.02,176400
5.627,22.88,268800
5.818,22.11,220500
6.406,19.52,359100
6.219,16.59,386400
6.485,18.85,323400
5.854,23.79,226800
6.459,23.98,247800
6.341,17.79,312900
6.251,16.44,264600
6.185,18.13,296100
6.417,19.31,273000
6.749,17.44,281400
6.655,17.73,319200
6.297,17.27,338100
7.393,16.74,373800
6.728,18.71,312900
6.525,18.13,296100
5.976,19.01,266700
5.936,16.94,283500
6.301,16.23,312900
6.081,14.7,420000
6.701,16.42,344400
6.376,14.65,371700
6.317,13.99,409500
6.513,10.29,424200
6.209,13.22,449400
5.759,14.13,417900
5.952,17.15,399000
6.003,21.32,401100
5.926,18.13,401100
5.713,14.76,422100
6.167,16.29,417900
6.229,12.87,411600
6.437,14.36,487200
6.98,11.66,625800
5.427,18.14,289800
6.162,24.1,279300
6.484,18.68,350700
5.304,24.91,252000
6.185,18.03,306600
6.229,13.11,449400
6.242,10.74,483000
6.75,7.74,497700
7.061,7.01,525000
5.762,10.42,457800
5.871,13.34,432600
6.312,10.58,445200
6.114,14.98,401100
5.905,11.45,432600
5.454,18.06,319200
5.414,23.97,147000
5.093,29.68,170100
5.983,18.07,285600
5.983,13.35,422100
5.707,12.01,457800
5.926,13.59,514500
5.67,17.6,485100
5.39,21.14,413700
5.794,14.1,384300
6.019,12.92,445200
5.569,15.1,367500
6.027,14.33,352800
6.593,9.67,470400
6.12,9.08,432600
6.976,5.64,501900
6.794,6.48,462000
6.03,7.88,249900
